Week,Subject,Topic,Duration(Hours),Difficulty,Status,Resources
1,Mathematics,Calculus Basics,10,High,In Progress,Khan Academy
1,Physics,Quantum Mechanics INTRO,8,High,Pending,MIT OCW
1,Chemistry,Organic Synthesis,6,Medium,Completed,NCERT
2,Biology,Genetic Mutation,5,Medium,Pending,BioDigital
2,Computer Science,React Hooks Mastery,12,Hard,Pending,Official Docs
3,Mathematics,Linear Algebra,8,Medium,Locked,3Blue1Brown
3,Physics,Electromagnetism,10,Hard,Locked,Walter Lewin
4,Nexus AI,Prompt Engineering,4,Easy,Locked,OpenAI
4,English,Literature Review,3,Easy,Locked,Project Gutenberg
5,History,Industrial Revolution,5,Medium,Locked,CrashCourse
5,Economics,Micro VS Macro,6,Medium,Locked,Investopedia
6,Mathematics,Probability Theory,9,High,Locked,StatQuest
6,Science,Thermodynamics,10,Hard,Locked,Physics Wallah
7,Computer Science,Data Structures,15,Hard,Locked,LeetCode
7,Marketing,Digital Funnels,4,Easy,Locked,HubSpot
8,Psychology,Cognitive Bias,5,Medium,Locked,Verywell Mind
8,Philosophy,Stoic Ethics,4,Medium,Locked,Daily Stoic
9,Mathematics,Geometry Proofs,7,Medium,Locked,MathAntics
9,Physics,Fluid Dynamics,8,High,Locked,Seven Dwarfs
10,Capstone,Final AI Project,20,Hard,Locked,Nexus Lab
